jogador,idade,nacionalidade,time,valor,posicao
V. Wanyama,27,Kenya,Tottenham Hotspur,14.5,CDM
N. Nkoulou,28,Cameroon,Torino,12,CB
R. Boudebouz,28,Algeria,Real Betis,15,CAM
Camacho,28,Spain,VfL Wolfsburg,13.5,CDM
S. Ulreich,29,Germany,FC Bayern München,10,GK
M. Musacchio,27,Argentina,Milan,12.5,RCB
C. Stuani,31,Uruguay,Girona FC,13.5,ST
P. Gulácsi,28,Hungary,RB Leipzig,10.5,GK
Bruno,34,Spain,Villarreal CF,7,CM
F. Delph,28,England,Manchester City,11.5,LB
A. Lallana,30,England,Liverpool,13.5,CM
Marcelo,31,Brazil,Olympique Lyonnais,10,RCB
S. Coleman,29,Republic of Ireland,Everton,11,RWB
Alexandre Pato,28,Brazil,Tianjin Quanjian FC,15.5,ST
Antunes,31,Portugal,Getafe CF,9.5,LB
Nacho Monreal,32,Spain,Arsenal,8,LB
Beñat,31,Spain,Athletic Club de Bilbao,12.5,LCM
A. Fernández,32,Argentina,Beijing Renhe FC,11,LDM
K. Gameiro,31,France,Valencia CF,13.5,ST
I. Piatti,33,Argentina,Montreal Impact,9,LW
V. Birsa,31,Slovenia,Chievo Verona,13,CAM
S. Romero,31,Argentina,Manchester United,9,GK
D. Criscito,31,Italy,Genoa,10,LCB
D. Valeri,32,Argentina,Portland Timbers,11.5,RF
D. Sturridge,28,England,Liverpool,15.5,ST
Raúl García,31,Spain,Athletic Club de Bilbao,13,CAM
S. Defour,30,Belgium,Burnley,13.5,LCM
M. Škrtel,33,Slovakia,Fenerbahçe SK,6,LCB
S. Radu,31,Romania,Lazio,10,LCB
G. Cahill,32,England,Chelsea,8.5,CB
L. Diarra,33,France,Paris Saint-Germain,6,CDM
L. Perrin,32,France,AS Saint-Étienne,8.5,RCB
Dante,34,Brazil,OGC Nice,4.5,CB
A. Granqvist,33,Sweden,,0,LCB
A. Gignac,32,France,Tigres U.A.N.L.,12,ST
M. Gómez,32,Germany,VfB Stuttgart,12,LS
I. Akinfeev,32,Russia,PFC CSKA Moscow,8.5,GK
I. Denisov,34,Russia,Lokomotiv Moscow,4.5,RDM
Juanfran,33,Spain,Atlético Madrid,5.5,RB
Diego López,36,Spain,RCD Espanyol,2,GK
Santi Cazorla,33,Spain,Villarreal CF,8.5,LCM
Jesús Navas,32,Spain,Sevilla FC,11.5,RM
J. Mascherano,34,Argentina,Hebei China Fortune FC,4.5,LDM
A. Mirante,34,Italy,Roma,6,GK
D. Srna,36,Croatia,Cagliari,1.7,RB
B. Schweinsteiger,33,Germany,Chicago Fire,6,LCB
Moyá,34,Spain,Real Sociedad,6,GK
W. Rooney,32,England,DC United,12,ST
Fernando Torres,34,Spain,Sagan Tosu,8,LS
S. Sorrentino,39,Italy,Chievo Verona,1,GK
V. Tsygankov,20,Ukraine,Dynamo Kyiv,18,RM
Rúben Dias,21,Portugal,SL Benfica,15,RCB
David Neres,21,Brazil,Ajax,18,RW
Raphinha,21,Brazil,Sporting CP,18,RM
A. Harit,21,Morocco,FC Schalke 04,18,LCM
Richarlison,21,Brazil,Everton,18,ST
L. Martínez,20,Argentina,Inter,18,ST
F. Kessié,21,Ivory Coast,Milan,19.5,CM
Luimo Boas Santos,30,Brazil,Santos,12,ST
Gabri Prestão,26,Brazil,Internacional,9,GK
Melvin Parrela,30,Brazil,América FC (Minas Gerais),9.5,LCM
Antônio Chiamuloira,30,Brazil,Internacional,9.5,CB
Maikel Catarino,34,Brazil,Atlético Mineiro,3.6,RB
A. Lunev,26,Russia,,0,GK
André Silva,22,Portugal,Sevilla FC,19,ST
C. Pulisic,19,United States,Borussia Dortmund,18,RM
M. Dmitrović,26,Serbia,SD Eibar,10,GK
L. Tousart,21,France,Olympique Lyonnais,14.5,RDM
Marcos Llorente,23,Spain,Real Madrid,16,CDM
B. Verbič,24,Slovenia,Dynamo Kyiv,15.5,LM
S. Bergwijn,20,Netherlands,PSV,18,LW
A. Diallo,22,France,Borussia Dortmund,15,LCB
A. Golovin,22,Russia,AS Monaco,17,CAM
M. Campaña,29,Uruguay,Independiente,10,GK
C. Pavón,22,Argentina,Boca Juniors,17.5,RW
K. Toko-Ekambi,25,Cameroon,Villarreal CF,15,LS
Granell,29,Spain,Girona FC,12,LWB
F. Cervi,24,Argentina,SL Benfica,17,LW
J. Weigl,22,Germany,Borussia Dortmund,14.5,CDM
V. Lindelöf,23,Sweden,Manchester United,14.5,CB
A. Rebić,24,Croatia,Eintracht Frankfurt,16,CAM
A. Sanabria,22,Paraguay,Real Betis,17.5,ST
R. Battaglia,26,Argentina,Sporting CP,14.5,CM
M. Philipp,24,Germany,Borussia Dortmund,17,ST
A. Saint-Maximin,21,France,OGC Nice,18,RS
D. Zappacosta,26,Italy,Chelsea,12.5,RB
L. Alario,25,Argentina,Bayer 04 Leverkusen,16,ST
D. Benedetto,28,Argentina,Boca Juniors,13,ST
I. Marcone,28,Argentina,Cruz Azul,11.5,RDM
J. Gbamin,22,Ivory Coast,1. FSV Mainz 05,14.5,RCM
J. Lerma,23,Colombia,Bournemouth,14.5,RCM
Ricardo Horta,23,Portugal,SC Braga,17,LM
R. Zobnin,24,Russia,Spartak Moscow,15,LDM
M. Meyer,22,Germany,Crystal Palace,16,LM
Bruma,23,Portugal,RB Leipzig,16.5,LW
R. Centurión,25,Argentina,Racing Club,15.5,RM
Jonny,24,Spain,Wolverhampton Wanderers,13.5,LWB
Otávio,23,Brazil,FC Porto,17.5,RM
J. Hofmann,25,Germany,Borussia Mönchengladbach,15,CAM
N. Aké,23,Netherlands,Bournemouth,14.5,CB
J. Hector,28,Germany,1. FC Köln,10,LWB
S. Kolašinac,25,Bosnia Herzegovina,Arsenal,13,LB
G. Pizarro,28,Argentina,Tigres U.A.N.L.,10,LDM
Roger,27,Spain,Levante UD,14.5,RS
Sergio Rico,24,Spain,Fulham,11.5,GK
L. Milivojević,27,Serbia,Crystal Palace,12.5,RCM
D. Baselli,26,Italy,Torino,15.5,CDM
K. Rekik,23,Netherlands,Hertha BSC,14,CB
Denis Suárez,24,Spain,FC Barcelona,17.5,CM
W. Orban,25,Hungary,RB Leipzig,13,RCB
Mário Rui,27,Portugal,Napoli,11.5,LB
Iñigo Martínez,27,Spain,Athletic Club de Bilbao,12,LCB
K. Zouma,23,France,Everton,14,CB
Roque Mesa,29,Spain,Sevilla FC,10,CDM
J. Brooks,25,United States,VfL Wolfsburg,14,LCB
L. Karius,25,Germany,Beşiktaş JK,11.5,GK
Zé Luís,27,Cape Verde,Spartak Moscow,14.5,ST
D. Klaassen,25,Netherlands,SV Werder Bremen,15,LCM
M. Elyounoussi,23,Norway,Southampton,17.5,LM
L. Bittencourt,24,Germany,TSG 1899 Hoffenheim,16,LM
Sergi Darder,24,Spain,RCD Espanyol,16,RCM
J. Roussillon,25,France,VfL Wolfsburg,14,LB
D. Demme,26,Germany,RB Leipzig,12,CDM
J. Gouweleeuw,26,Netherlands,FC Augsburg,12,RCB
M. Rojo,28,Argentina,Manchester United,10,CB
J. Veretout,25,France,Fiorentina,16.5,CDM
L. Kurzawa,25,France,Paris Saint-Germain,13,LB
G. Ramírez,27,Uruguay,Sampdoria,13,CAM
David López,28,Spain,RCD Espanyol,10,RCB
C. Tătăruşanu,32,Romania,FC Nantes,7,GK
A. Mandi,26,Algeria,Real Betis,13,RCB
D. Sidibé,25,France,AS Monaco,12,RB
Y. Konoplyanka,28,Ukraine,FC Schalke 04,12.5,LW
S. Berghuis,26,Netherlands,Feyenoord,15,RW
H. Vanaken,25,Belgium,Club Brugge KV,15.5,CAM
Campaña,25,Spain,Levante UD,15.5,CDM
M. van Ginkel,25,Netherlands,Chelsea,14.5,CM
Nolito,31,Spain,Sevilla FC,11,LM
M. Gregoritsch,24,Austria,FC Augsburg,16,CAM
Ibai Gómez,28,Spain,Deportivo Alavés,12.5,RM
Danilo,26,Brazil,Manchester City,12,RB
R. Barkley,24,England,Chelsea,16,CAM
M. Ryan,26,Australia,Brighton & Hove Albion,10.5,GK
Sergio León,29,Spain,Real Betis,12.5,ST
B. Stambouli,27,France,FC Schalke 04,10.5,RCB
J. Guilavogui,27,France,VfL Wolfsburg,12,CDM
Sérgio Oliveira,26,Portugal,FC Porto,15.5,CM
D. Caligiuri,30,Italy,FC Schalke 04,9,RWB
C. Wilson,26,England,Bournemouth,15.5,ST
P. Jones,26,England,Manchester United,12,CB
Borja García,27,Spain,Girona FC,13,LM
Y. Belhanda,28,Morocco,Galatasaray SK,12.5,CAM
G. Pezzella,27,Argentina,Fiorentina,12.5,RCB
Jaume Costa,30,Spain,Villarreal CF,9,LB
C. Tosun,27,Turkey,Everton,14.5,ST
Escudero,28,Spain,Sevilla FC,10,LM
Kike García,28,Spain,SD Eibar,13,ST
Elkeson,28,Brazil,Shanghai SIPG FC,13,ST
Ricardo Goulart,27,Brazil,Guangzhou Evergrande Taobao FC,14.5,CF
J. Guðmundsson,27,Iceland,Burnley,13,RM
N. Clyne,27,England,Liverpool,11.5,RB
M. Hitz,30,Switzerland,Borussia Dortmund,8,GK
De Marcos,29,Spain,Athletic Club de Bilbao,9.5,RB
B. Mee,28,England,Burnley,10,LCB
Rafael,27,Brazil,Olympique Lyonnais,10.5,RB
Iborra,30,Spain,Leicester City,9.5,CDM
J. Wilshere,26,England,West Ham United,15,CM
B. Hübner,28,Germany,TSG 1899 Hoffenheim,10,CB
Souza,29,Brazil,Al Ahli,10,CDM
F. Coquelin,27,France,Valencia CF,12,LCM
Alex Teixeira,28,Brazil,Jiangsu Suning FC,13,LS
A. Dzagoev,28,Russia,PFC CSKA Moscow,12.5,RDM
I. Smolnikov,29,Russia,,0,RB
Y. M'Vila,28,France,AS Saint-Étienne,11.5,LDM
K. Asamoah,29,Ghana,Inter,9.5,LB
R. Zieler,29,Germany,VfB Stuttgart,10,GK
D. Drinkwater,28,England,Chelsea,12.5,CM
N. Kalinić,30,Croatia,Atlético Madrid,12,ST
Mariano,32,Brazil,Galatasaray SK,7,RB
S. Feghouli,28,Algeria,Galatasaray SK,12.5,RM
Adrien Silva,29,Portugal,Leicester City,12,CM
Fernando,30,Brazil,Galatasaray SK,9.5,CDM
I. Traoré,30,Guinea,Borussia Mönchengladbach,12,RM
G. Mercado,31,Argentina,Sevilla FC,8.5,RCB
N. Petersen,29,Germany,SC Freiburg,12.5,RS
O. Karnezis,32,Greece,Napoli,7,GK
M. Sakho,28,France,Crystal Palace,11.5,CB
Sidnei,28,Brazil,Real Betis,11.5,LCB
S. Jovetić,28,Montenegro,AS Monaco,13,ST
Eder,31,Italy,Jiangsu Suning FC,11.5,RS
J. Hernández,30,Mexico,West Ham United,12,ST
Fabricio,30,Spain,Fulham,8,GK
Kiko Casilla,31,Spain,Real Madrid,7.5,GK
Ángel,31,Spain,Getafe CF,11.5,ST
M. Schneiderlin,28,France,Everton,10,CDM
M. Fellaini,30,Belgium,Manchester United,11.5,CM
P. Wernbloom,32,Sweden,PAOK,7,CDM
D. Ospina,29,Colombia,Napoli,8.5,GK
S. Mignolet,30,Belgium,Liverpool,8,GK
A. Begović,31,Bosnia Herzegovina,Bournemouth,7.5,GK
N. Şahin,29,Turkey,SV Werder Bremen,10,CDM
R. Bertrand,28,England,Southampton,10,LB
A. Masiello,32,Italy,Atalanta,7,CB
T. Walcott,29,England,Everton,12.5,RM
Charles,34,Brazil,SD Eibar,6.5,LS
T. Heaton,32,England,Burnley,7,GK
H. Ben Arfa,31,France,Stade Rennais FC,11,CAM
D. Abraham,31,Argentina,Eintracht Frankfurt,8.5,CB
E. Lavezzi,33,Argentina,Hebei China Fortune FC,8,CAM
S. Kalou,32,Ivory Coast,Hertha BSC,10,LM
J. Farfán,33,Peru,Lokomotiv Moscow,7.5,CAM
R. Babel,31,Netherlands,Beşiktaş JK,11,LM
A. Young,32,England,Manchester United,7,LB
J. Hart,31,England,Burnley,7.5,GK
L. López,35,Argentina,Racing Club,6,LS
D. Baier,34,Germany,FC Augsburg,3.8,CDM
B. Yılmaz,32,Turkey,Trabzonspor,10,ST
R. Adler,33,Germany,1. FSV Mainz 05,6.5,GK
S. Lichtsteiner,34,Switzerland,Arsenal,3.6,RB
E. Adebayor,34,Togo,Medipol Başakşehir FK,6.5,ST
E. Belözoğlu,37,Turkey,Medipol Başakşehir FK,4,CM
Loren,24,Spain,Real Betis,14,RS
Éder Militão,20,Brazil,FC Porto,14,LCB
F. Chiesa,20,Italy,Fiorentina,16,RW
M. Lazzari,24,Italy,SPAL,13,RM
A. Hakimi,19,Morocco,Borussia Dortmund,12.5,LB
S. Nakajima,23,Japan,Portimonense SC,14,LW
L. Jović,20,Serbia,Eintracht Frankfurt,15.5,LS
S. Ascacíbar,21,Argentina,VfB Stuttgart,12,CDM
A. Lafont,19,France,Fiorentina,14,GK
T. Alexander-Arnold,19,England,Liverpool,14,RB
F. Krovinović,22,Croatia,SL Benfica,14,CAM
Sidney Pessinho,26,Brazil,Internacional,9,CDM
Everticinho,30,Brazil,Grêmio,7.5,RB
Claudio Coíntra,34,Brazil,Internacional,5,CAM
Ronaldo Esler,30,Brazil,Atlético Mineiro,7.5,LB
P. Lees-Melou,25,France,OGC Nice,12.5,RCM
B. Chilwell,21,England,Leicester City,12.5,LB
João Novais,24,Portugal,SC Braga,13,CAM
D. Calabria,21,Italy,Milan,14.5,RB
F. Mendy,23,France,Olympique Lyonnais,13,LB
L. Pellegrini,22,Italy,Roma,14,CM
Soares,27,Brazil,FC Porto,12,LS
Daniel Podence,22,Portugal,Olympiacos CFP,14,LM
M. Díaz,32,Argentina,Club Atlético Huracán,6,GK
G. Martínez,25,Argentina,River Plate,13.5,CAM
M. Eggestein,21,Germany,SV Werder Bremen,14,RCM
Trezeguet,23,Egypt,Kasimpaşa SK,13,LM
N. Amiri,21,Germany,TSG 1899 Hoffenheim,14.5,CAM
Vallejo,21,Spain,Real Madrid,13.5,CB
J. Gomez,21,England,Liverpool,14.5,CB
Diogo Jota,21,Portugal,Wolverhampton Wanderers,15.5,LW
Joan Jordán,23,Spain,SD Eibar,13.5,LCM
Dyego Sousa,28,Brazil,SC Braga,10.5,ST
A. Marušić,25,Montenegro,Lazio,12.5,RM
David Soria,25,Spain,Getafe CF,9,GK
V. Rongier,23,France,FC Nantes,14,RCM
W. Weghorst,25,Netherlands,VfL Wolfsburg,13,LS
O. Al Soma,29,Syria,Al Ahli,10.5,LS
M. Nakamba,24,Zimbabwe,Club Brugge KV,12,LCM
Petros,29,Brazil,Al Nassr,10,LDM
Pablo Maffeo,20,Spain,VfB Stuttgart,13,RWB
Y. Mina,23,Colombia,Everton,12.5,LCB
M. Dúbravka,29,Slovakia,Newcastle United,8.5,GK
Diego Carlos,25,Brazil,FC Nantes,10.5,RCB
D. Djené,26,Togo,Getafe CF,10,RCB
G. Simeone,22,Argentina,Fiorentina,15,ST
M. Meza,25,Argentina,Independiente,12.5,LM
Bastos,26,Angola,Lazio,10,CB
S. Lobotka,23,Slovakia,RC Celta,14,CM
Y. Tielemans,21,Belgium,AS Monaco,16,CM
Marcelo Goiano,30,Brazil,SC Braga,7.5,RB
K. Tete,22,Netherlands,Olympique Lyonnais,11.5,RB
Capa,26,Spain,Athletic Club de Bilbao,10.5,RB
M. Sportiello,26,Italy,Frosinone,9,GK
Jemerson,25,Brazil,AS Monaco,11,LCB
N. Maksimović,26,Serbia,Napoli,11,CB
D. Zapata,27,Colombia,Atalanta,12,RS
J. Correa,23,Argentina,Lazio,14,LM
E. Rigoni,25,Argentina,Atalanta,13,RM
C. Izquierdoz,29,Argentina,Boca Juniors,8,RCB
W. Barrios,24,Colombia,Boca Juniors,12.5,CDM
J. Mojica,25,Colombia,Girona FC,10.5,LWB
A. Selikhov,24,Russia,Spartak Moscow,9.5,GK
A. Iwobi,22,Nigeria,Arsenal,14,LM
D. Laxalt,25,Uruguay,Milan,12.5,LB
N. Bentaleb,23,Algeria,FC Schalke 04,13.5,CM
N. Stark,23,Germany,Hertha BSC,12,CB
M. Lemina,24,Gabon,Southampton,13.5,LCM
L. Dendoncker,23,Belgium,Wolverhampton Wanderers,12,CB
Ricardo Esgaio,25,Portugal,SC Braga,12.5,RM
P. Sisto,23,Denmark,RC Celta,14,LW
P. Max,24,Germany,FC Augsburg,11,LWB
R. Gagliardini,24,Italy,Inter,11.5,CDM
Pere Pons,25,Spain,Girona FC,13.5,RCM
D. Berardi,23,Italy,Sassuolo,14,RW
M. Halstenberg,26,Germany,RB Leipzig,10,LB
J. Quintero,25,Colombia,River Plate,12.5,CAM
Tiago Volpi,27,Brazil,Querétaro,8.5,GK
Óliver Torres,23,Spain,FC Porto,13.5,CM
Omar Mascarell,25,Spain,FC Schalke 04,10.5,CDM
H. Sakai,28,Japan,Olympique de Marseille,8,RB
Andreas Pereira,22,Brazil,Manchester United,14,CM
A. Januzaj,23,Belgium,Real Sociedad,14,RW
B. Cristante,23,Italy,Roma,15,CM
Matheus,25,Brazil,SC Braga,9.5,GK
B. Traoré,22,Burkina Faso,Olympique Lyonnais,14,RM
Y. Poulsen,24,Denmark,RB Leipzig,13,RW
L. Trossard,23,Belgium,KRC Genk,14,LM
M. Arnold,24,Germany,VfL Wolfsburg,13.5,LCM
M. De Sciglio,25,Italy,Juventus,10.5,RB
Leo Baptistao,25,Brazil,RCD Espanyol,12.5,RW
V. Chiricheş,28,Romania,Napoli,8.5,CB
L. Pavoletti,29,Italy,Cagliari,10.5,RS
A. Cragno,24,Italy,Cagliari,10.5,GK
L. Castro,29,Argentina,Cagliari,10,CM
N. Füllkrug,25,Germany,Hannover 96,12.5,RS
F. Fajr,29,Morocco,Stade Malherbe Caen,10,RCM
R. Jiménez,27,Mexico,Wolverhampton Wanderers,12,RS
E. Sala,27,Argentina,FC Nantes,11,ST
S. García,27,Uruguay,Godoy Cruz,11,ST
S. Arias,26,Colombia,Atlético Madrid,10.5,RB
B. Reynet,27,France,Toulouse Football Club,8.5,GK
Pozuelo,26,Spain,KRC Genk,12,CAM
A. Trebel,27,France,RSC Anderlecht,11.5,CM
J. Lascelles,24,England,Newcastle United,12,RCB
T. Kongolo,24,Netherlands,Huddersfield Town,12,LCB
A. Carrillo,27,Peru,Al Hilal,11,RM
Álvaro,28,Spain,Villarreal CF,9.5,RCB
G. Defrel,27,France,Sampdoria,11,LS
Fernando,26,Brazil,Spartak Moscow,11,CDM
V. Darida,27,Czech Republic,Hertha BSC,10.5,CM
R. Saponara,26,Italy,Sampdoria,12.5,CAM
Pedro Mendes,27,Portugal,Montpellier HSC,10,RCB
C. Schindler,28,Germany,Huddersfield Town,10,CB
N. Chadli,28,Belgium,AS Monaco,10.5,LM
Arbilla,31,Spain,SD Eibar,7,CB
L. Dunk,26,England,Brighton & Hove Albion,11,LCB
P. Hernández,31,Chile,Independiente,9,CM
J. Guidetti,26,Sweden,Deportivo Alavés,13,LS
Sergi Gómez,26,Spain,Sevilla FC,11.5,LCB
Oriol Romeu,26,Spain,Southampton,10.5,CDM
Lucas Pérez,29,Spain,West Ham United,10.5,ST
B. Natcho,30,Israel,Olympiacos CFP,9.5,CM
Cláudio Ramos,26,Portugal,CD Tondela,9.5,GK
F. Lejeune,27,France,Newcastle United,10,CB
G. Krychowiak,28,Poland,Lokomotiv Moscow,9.5,LCM
N. Lodeiro,29,Uruguay,Seattle Sounders FC,10,CAM
O. Özyakup,25,Turkey,Beşiktaş JK,13,RDM
C. Tévez,34,Argentina,Boca Juniors,5,CAM
K. Papadopoulos,26,Greece,Hamburger SV,10.5,CB
M. Gradel,30,Ivory Coast,Toulouse Football Club,10,LW
M. Debuchy,32,France,AS Saint-Étienne,5.5,RB
V. Moses,27,Nigeria,Chelsea,11,RW
Z. Junuzović,30,Austria,FC Red Bull Salzburg,9.5,CM
Granero,30,Spain,RCD Espanyol,9.5,LCM
J. Baumgartlinger,30,Austria,Bayer 04 Leverkusen,7.5,CDM
Fábio Coentrão,30,Portugal,Rio Ave FC,10,RW
B. Costil,30,France,FC Girondins de Bordeaux,6.5,GK
Hilton,40,Brazil,Montpellier HSC,0,CB
N. Gudelj,26,Serbia,Sporting CP,10.5,CDM
L. Pratto,30,Argentina,River Plate,10,LS
E. Hernández,30,Mexico,Cruz Azul,10,LM
Jurado,32,Spain,Al Ahli,8,LCM
R. Cabella,28,France,AS Saint-Étienne,10.5,CAM
Rafael Tolói,27,Brazil,Atalanta,10,RCB
C. Bravo,35,Chile,Manchester City,2.4,GK
Hernanes,33,Brazil,Hebei China Fortune FC,6,RDM
K. Honda,32,Japan,Melbourne Victory,8,RM
A. Dzyuba,29,Russia,,0,ST
J. Holebas,34,Greece,Watford,2.9,LB
Javi García,31,Spain,Real Betis,7,CDM
Sergio,31,Spain,RC Celta,6.5,GK
M. Cáceres,31,Uruguay,Lazio,7,LCB
Daniel Carriço,29,Portugal,Sevilla FC,8,CB
J. Cork,29,England,Burnley,10,RCM
J. Tomkins,29,England,Crystal Palace,9,RCB
Guilherme,32,Russia,Lokomotiv Moscow,6,GK
Gervinho,31,Ivory Coast,Parma,9,RW
J. Shelvey,26,England,Newcastle United,12.5,CM
R. Eremenko,31,Finland,Spartak Moscow,9,CAM
R. Vormer,30,Netherlands,Club Brugge KV,9.5,RCM
J. Lens,30,Netherlands,Beşiktaş JK,10,LM
Adriano,33,Brazil,Beşiktaş JK,4,LB
S. Cook,27,England,Bournemouth,8.5,RCB
L. Podolski,33,Germany,Vissel Kobe,6.5,RF
C. Ansaldi,31,Argentina,Torino,7,LM
Manu García,32,Spain,Deportivo Alavés,6,LCM
R. Alessandrini,29,France,LA Galaxy,10,RM
J. Ward-Prowse,23,England,Southampton,12,RM
M. Harnik,31,Austria,SV Werder Bremen,8,ST
B. Moukandjo,29,Cameroon,Beijing Renhe FC,9,CAM
G. Pereiro,23,Uruguay,PSV,12,RM
G. Castro,31,Germany,VfB Stuttgart,7.5,CM
Aarón Martín,21,Spain,1. FSV Mainz 05,11,LB
F. Johnson,30,United States,Borussia Mönchengladbach,8.5,LM
L. López,28,Argentina,Genoa,7,CB
M. Dossevi,30,Togo,Toulouse Football Club,8.5,RM
Caiuby,29,Brazil,FC Augsburg,8.5,LM
Gabriel,24,Brazil,SL Benfica,11.5,CM
Iván Ramis,33,Spain,SD Eibar,3.6,LCB
M. Suchý,30,Czech Republic,FC Basel 1893,6.5,CB
T. Vilhena,23,Netherlands,Feyenoord,11.5,CM
E. Çolak,27,Turkey,Al Wehda,9.5,CAM
V. Germain,28,France,Olympique de Marseille,9,ST
G. Hoarau,34,France,BSC Young Boys,4.7,LS
Sergio García,35,Spain,RCD Espanyol,4.1,LW
E. Choupo-Moting,29,Cameroon,Paris Saint-Germain,9,ST
J. Pinola,35,Argentina,River Plate,2.1,LCB
J. Hendrix,23,Netherlands,PSV,10,LCM
J. Izquierdo,25,Colombia,Brighton & Hove Albion,10.5,LM
S. Sydorchuk,27,Ukraine,Dynamo Kyiv,10,CM
C. Grenier,27,France,Stade Rennais FC,10,LDM
T. Strobl,28,Germany,Borussia Mönchengladbach,7,CDM
V. Odjidja-Ofoe,29,Belgium,KAA Gent,8.5,CM
N. Guzmán,32,Argentina,Tigres U.A.N.L.,5,GK
F. Fabra,27,Colombia,Boca Juniors,8,LB
J. Maddison,21,England,Leicester City,13,CAM
K. El Ahmadi,33,Morocco,Al Ittihad,3.6,RDM
M. Carcela-González,29,Morocco,Standard de Liège,8.5,RM
M. Gabbiadini,26,Italy,Southampton,10.5,ST
Gomes,37,Brazil,Watford,600K,GK
M. Ritchie,28,Scotland,Newcastle United,9,RM
G. Bou,28,Argentina,Racing Club,9,ST
Javi Fuego,34,Spain,Villarreal CF,2.7,CDM
E. Akbaba,25,Turkey,Galatasaray SK,11,CAM
J. Amavi,24,France,Olympique de Marseille,10,LB
R. Malinovskyi,25,Ukraine,KRC Genk,11.5,RCM
D. Welbeck,27,England,Arsenal,9.5,LW
G. Conti,23,Argentina,SL Benfica,10.5,CB
Bruno,28,Spain,Getafe CF,8,CB
Garry Rodrigues,27,Cape Verde,Galatasaray SK,9.5,LM
A. Schwolow,26,Germany,SC Freiburg,7,GK
L. Cook,21,England,Bournemouth,12.5,CM
P. Pérez,32,Argentina,Boca Juniors,6.5,CM
Gazzolisco,30,Brazil,Internacional,6.5,LB
Jonatan Soriano,32,Spain,Beijing Sinobo Guoan FC,7,ST
Rubén Peña,26,Spain,SD Eibar,8.5,RB
Mikel San José,29,Spain,Athletic Club de Bilbao,8.5,CM
P. Groß,27,Germany,Brighton & Hove Albion,10,CAM
L. Baines,33,England,Everton,3.4,LB
A. Ogbonna,30,Italy,West Ham United,6.5,CB
Juan Jesus,27,Brazil,Roma,7.5,CB
J. Martínez,31,Colombia,Portimonense SC,8,ST
N. Elvedi,21,Switzerland,Borussia Mönchengladbach,11,RCB
G. Moreno,32,Colombia,Shanghai Greenland Shenhua FC,7,CAM
J. Valdivia,34,Chile,Colo-Colo,4.5,CAM
A. Carroll,29,England,West Ham United,9,ST
Luís Neto,30,Portugal,,0,CB
A. Pyatov,34,Ukraine,Shakhtar Donetsk,3.6,GK
T. Gutiérrez,33,Colombia,Junior FC,5.5,ST
Álex Remiro,23,Spain,Athletic Club de Bilbao,9,GK
Wilson Eduardo,27,Portugal,SC Braga,9.5,RS
Jorge Meré,21,Spain,1. FC Köln,10.5,CB
M. Elneny,25,Egypt,Arsenal,9,RDM
D. Torres,28,Colombia,Deportivo Alavés,7,CDM
Y. Bounou,27,Morocco,Girona FC,7.5,GK
A. Prijović,28,Serbia,PAOK,9,ST
A. Jahanbakhsh,24,Iran,Brighton & Hove Albion,11.5,RM
J. Calleri,24,Argentina,Deportivo Alavés,12,LS
Simão Acunha,30,Brazil,Atlético Mineiro,8.5,CAM
N. Müller,30,Germany,Eintracht Frankfurt,8.5,RM
L. Ocampos,23,Argentina,Olympique de Marseille,12,LM
J. Rodriguez,28,England,West Bromwich Albion,9,RS
V. Ibišević,33,Bosnia Herzegovina,Hertha BSC,5.5,LS
S. Rondón,28,Venezuela,Newcastle United,9,RS
Victor Sánchez,30,Spain,RCD Espanyol,6.5,CDM
D. Suárez,30,Uruguay,Getafe CF,6.5,RB
K. Huntelaar,34,Netherlands,Ajax,4.7,ST
L. Dubois,23,France,Olympique Lyonnais,10.5,RB
André Pinto,28,Portugal,Sporting CP,7,CB
K. Lala,26,France,RC Strasbourg Alsace,8.5,RWB
O. Kıvrak,30,Turkey,Trabzonspor,5.5,GK
A. Bertolacci,27,Italy,Milan,9,CM
E. Giaccherini,33,Italy,Chievo Verona,5.5,LW
A. Živković,21,Serbia,SL Benfica,12.5,LW
R. Ábila,28,Argentina,Boca Juniors,9,ST
P. Diop,32,Senegal,SD Eibar,5,RCM
D. Garmash,28,Ukraine,Dynamo Kyiv,9,CM
T. Chandler,28,United States,Eintracht Frankfurt,7,RB
R. Klavan,32,Estonia,Cagliari,5,CB
A. Miranchuk,22,Russia,Lokomotiv Moscow,12,CAM
D. Da Silva,30,France,Stade Rennais FC,6.5,RCB
D. Benaglio,34,Switzerland,AS Monaco,3.6,GK
T. Rincón,30,Venezuela,Torino,8,CM
M. Pereira,34,Uruguay,FC Porto,2.5,RB
C. Borges,30,Costa Rica,Göztepe SK,6.5,LDM
J. Sand,37,Argentina,Deportivo Cali,3.2,ST
Markel Bergara,32,Spain,Getafe CF,5,CDM
Vágner Love,34,Brazil,Beşiktaş JK,4.7,ST
B. Bourigeaud,24,France,Stade Rennais FC,11.5,LM
R. Soriano,27,Italy,Torino,9.5,RCM
D. Kuzyaev,25,Russia,,0,RM
R. Sambueza,34,Argentina,Deportivo Toluca,4.5,RM
Montoya,27,Spain,Brighton & Hove Albion,8,RB
A. Poli,28,Italy,Bologna,9,RCM
C. Austin,28,England,Southampton,9,LS
